City,Connection 1,Distance 1,Connection 2,Distance 2,Connection 3,Distance 3,Connection 4,Distance 4,Connection 5,Distance 5,Connection 6,Distance 6,Connection 7,Distance 7,Connection 8,Distance 8,Connection 9,Distance 9
Aalborg,Randers,66.35872334867219,Aarhus,100.89217852865272,Horsens,132.57434334702947,Vejle,150.1225638350274,,,,,,,,,,
Esbjerg,Kolding,66.15753038216572,Vejle,72.83423257974813,Horsens,97.18832672559796,Odense,122.66572699563177,,,,,,,,,,
Randers,Aarhus,34.97823077669977,Aalborg,66.35872334867219,Horsens,67.59332072685822,Vejle,88.09296819700795,,,,,,,,,,
Kolding,Vejle,25.10614618869555,Horsens,46.29577241192737,Odense,57.050305028226546,Esbjerg,66.15753038216572,,,,,,,,,,
Horsens,Vejle,25.297501699741286,Aarhus,40.09303370077553,Kolding,46.29577241192737,Odense,61.54692460481383,,,,,,,,,,
Vejle,Kolding,25.10614618869555,Horsens,25.297501699741286,Odense,64.5494213385094,Aarhus,64.64524414134301,,,,,,,,,,
Roskilde,Copenhagen,30.55749038819829,Odense,110.35084867851668,Aarhus,129.6323095036851,Horsens,141.64730248728176,,,,,,,,,,
Tallinn,Maardu,15.963478575657582,Rakvere,91.36140794093824,Parnu,118.03150557182865,Viljandi,128.75578841721236,,,,,,,,,,
Tartu,Voru,61.62757626624077,Viljandi,65.13560056282019,Rakvere,109.53955469605569,Kohtla-Jarve,117.00214238633411,,,,,,,,,,
Narva,Kohtla-Jarve,53.22089936793062,Rakvere,104.64483285590188,Tartu,139.30590909359833,Maardu,180.19585611255334,Saint Petersburg,135.1254410063273,,,,,,,,
Parnu,Viljandi,64.16232217865738,Tallinn,118.03150557182865,Kuressaare,118.70429845607126,Maardu,125.28598881689733,,,,,,,,,,
Kohtla-Jarve,Rakvere,51.66335332386353,Narva,53.22089936793062,Tartu,117.00214238633411,Maardu,127.01862301922785,,,,,,,,,,
Viljandi,Parnu,64.16232217865738,Tartu,65.13560056282019,Voru,100.06634331476577,Rakvere,117.53487221235973,Valmiera,91.57602311752947,,,,,,,,
Rakvere,Kohtla-Jarve,51.66335332386353,Maardu,76.80222426243749,Tallinn,91.36140794093824,Narva,104.64483285590188,,,,,,,,,,
Maardu,Tallinn,15.963478575657582,Rakvere,76.80222426243749,Parnu,125.28598881689733,Kohtla-Jarve,127.01862301922785,,,,,,,,,,
Kuressaare,Parnu,118.70429845607126,Viljandi,182.5104910697753,Tallinn,185.34812850126963,Maardu,199.61165910171283,,,,,,,,,,
Voru,Tartu,61.62757626624077,Viljandi,100.06634331476577,Parnu,158.0103246078651,Rakvere,171.0490579015242,,,,,,,,,,
Helsinki,Vantaa,14.869320048949923,Espoo,16.056901615499953,Lahti,98.37112386612334,Kouvola,123.92202142237547,,,,,,,,,,
Espoo,Helsinki,16.056901615499953,Vantaa,23.410683260727048,Lahti,102.10282807219582,Kouvola,134.08230556388258,,,,,,,,,,
Tampere,Lahti,116.18648976201318,Jyvaskyla,132.76929941978926,Turku,141.67287227837753,Vantaa,150.68942227527396,,,,,,,,,,
Vantaa,Helsinki,14.869320048949923,Espoo,23.410683260727048,Lahti,83.50277542609678,Kouvola,111.02797050756031,,,,,,,,,,
Oulu,Kuopio,259.3180797157499,Jyvaskyla,308.57507656777096,Tampere,400.20891456057274,Lahti,448.30533390203595,Lulea,166.67674075525318,,,,,,,,
Turku,Espoo,134.2692363540311,Tampere,141.67287227837753,Helsinki,150.32344690603443,Vantaa,153.43374333780082,,,,,,,,,,
Jyvaskyla,Kuopio,122.78940250771369,Tampere,132.76929941978926,Lahti,140.01160790153833,Kouvola,161.01550551454622,,,,,,,,,,
Lahti,Kouvola,58.38494047365075,Vantaa,83.50277542609678,Helsinki,98.37112386612334,Espoo,102.10282807219582,,,,,,,,,,
Kuopio,Jyvaskyla,122.78940250771369,Kouvola,230.81236772227302,Lahti,237.3024996857417,Tampere,255.5542902375872,,,,,,,,,,
Kouvola,Lahti,58.38494047365075,Vantaa,111.02797050756031,Helsinki,123.92202142237547,Espoo,134.08230556388258,Saint Petersburg,223.0448578798223,,,,,,,,
Paris,Lille,203.3657130975745,Nantes,342.7076929306574,Lyon,392.05741908073935,Strasbourg,396.75477754474076,,,,,,,,,,
Marseille,Montpellier,125.49856809171607,Nice,159.50251048808974,Lyon,277.1409815721662,Toulouse,318.7386259900208,,,,,,,,,,
Lyon,Montpellier,250.68685913920004,Marseille,277.1409815721662,Nice,298.3498430047105,Toulouse,359.84911463519336,Geneva,112.29165781878551,,,,,,,,
Toulouse,Montpellier,195.89959213091092,Bordeaux,211.85274496707362,Marseille,318.7386259900208,Lyon,359.84911463519336,Escaldes-Engordany,122.07873670298044,Barcelona,254.27420300472784,,,,,,
Nice,Marseille,159.50251048808974,Montpellier,272.8137965102759,Lyon,298.3498430047105,Toulouse,468.44846268823295,Genoa,154.67771796043942,Monaco,12.535918780051441,,,,,,
Nantes,Bordeaux,274.88443654493597,Paris,342.7076929306574,Toulouse,464.86306618420747,Lille,507.0013750864539,,,,,,,,,,
Strasbourg,Lyon,383.0844113296902,Paris,396.75477754474076,Lille,407.0353793897343,Nice,543.8729401867697,Stuttgart,107.48494875973488,Remich,146.68070292712872,,,,,,
Montpellier,Marseille,125.49856809171607,Toulouse,195.89959213091092,Lyon,250.68685913920004,Nice,272.8137965102759,,,,,,,,,,
Bordeaux,Toulouse,211.85274496707362,Nantes,274.88443654493597,Montpellier,380.4410782856843,Lyon,435.9924838707501,,,,,,,,,,
Lille,Paris,203.3657130975745,Strasbourg,407.0353793897343,Nantes,507.0013750864539,Lyon,557.1078572183146,Bruges,65.65354790226893,,,,,,,,
Tbilisi,Rustavi,26.645781560203364,Gori,63.27479833304432,Khashuri,103.49290615944594,Kutaisi,182.61857696471924,,,,,,,,,,
